model,clip,condition,ref,hyp,wer
openai/whisper-tiny,1272-128104-0000,clean,mr quilter is the apostle of the middle classes,he was in a fevered state of mind owing to the blight his wifes action threatened to cast upon his entire future,2.2222
openai/whisper-tiny,1272-128104-0000,snr20,mr quilter is the apostle of the middle classes,he was in a fevered state of mind owing to the blight his wifes action threatened to cast upon his entire future,2.2222
openai/whisper-tiny,1272-128104-0000,snr10,mr quilter is the apostle of the middle classes,he was in a fevered state of mind owing to the blight his wifes action threatened to cast upon his entire future,2.2222
openai/whisper-tiny,1272-128104-0001,clean,nor is mister quilters manner less interesting than his matter,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,2.5
openai/whisper-tiny,1272-128104-0001,snr20,nor is mister quilters manner less interesting than his matter,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,2.5
openai/whisper-tiny,1272-128104-0001,snr10,nor is mister quilters manner less interesting than his matter,we would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,2.5
openai/whisper-tiny,1272-128104-0002,clean,he tells us that at this festive season of the year with christmas and roast beef looming before us,first would walk to the floor mentally arranging the chief points of his situation,0.9474
openai/whisper-tiny,1272-128104-0002,snr20,he tells us that at this festive season of the year with christmas and roast beef looming before us,first would walk to the floor mentally arranging the chief points of his situation,0.9474
openai/whisper-tiny,1272-128104-0002,snr10,he tells us that at this festive season of the year with christmas and roast beef looming before us,first we would walk before mentally arranging the cheap points of the situation,0.9474
openai/whisper-tiny,1272-128104-0003,clean,similes drawn from the everyday life to which the genius of the speaker so forcibly addresses itself,he also thought of his managerial position,0.9412
openai/whisper-tiny,1272-128104-0003,snr20,similes drawn from the everyday life to which the genius of the speaker so forcibly addresses itself,he also thought of his managerial position,0.9412
openai/whisper-tiny,1272-128104-0003,snr10,similes drawn from the everyday life to which the genius of the speaker so forcibly addresses itself,he also thought of his managerial position,0.9412
openai/whisper-tiny,1272-128104-0004,clean,the manner of this proclamation was so pompous as to leave very little doubt,how would the papers talk about it,1.0
openai/whisper-tiny,1272-128104-0004,snr20,the manner of this proclamation was so pompous as to leave very little doubt,how would the papers talk about it,1.0
openai/whisper-tiny,1272-128104-0004,snr10,the manner of this proclamation was so pompous as to leave very little doubt,i would be papers talk about it,1.0
openai/whisper-tiny,1272-128104-0005,clean,it is hard to judge the effect of the manner of delivery,many little wrinkles gather between his eyes as he contemplated this and his brow moistened,1.25
openai/whisper-tiny,1272-128104-0005,snr20,it is hard to judge the effect of the manner of delivery,many little wrinkles gather between his eyes as he contemplated this and his brown moistened,1.25
openai/whisper-tiny,1272-128104-0005,snr10,it is hard to judge the effect of the manner of delivery,many little wrinkles gathered between the eyes of the contemplative bit and then brown moisture,1.0
openai/whisper-tiny,1272-128104-0006,clean,mr quilter is the apostle of the middle classes and we are glad to welcome his gospel,he could arrange that satisfactorily for kerry would be glad to wait if necessary,0.8824
openai/whisper-tiny,1272-128104-0006,snr20,mr quilter is the apostle of the middle classes and we are glad to welcome his gospel,you could arrange that side of spactor for carry would be glad to wait if necessary,0.8235
openai/whisper-tiny,1272-128104-0006,snr10,mr quilter is the apostle of the middle classes and we are glad to welcome his gospel,he could arrange a side of stock rate for a carry will be glad to wait if necessary,0.8824
openai/whisper-tiny,1272-128104-0007,clean,nor is mister quilters manner less interesting than his matter,he would see how things turned out tomorrow and then he would talk to her they were going to meet as usual,2.2
openai/whisper-tiny,1272-128104-0007,snr20,nor is mister quilters manner less interesting than his matter,he would see how things turned out tomorrow and then he would talk to her they were going to meet as usual,2.2
openai/whisper-tiny,1272-128104-0007,snr10,nor is mister quilters manner less interesting than his matter,he would see how things turned out to mile and then he would talk to her they were going to meet as usual,2.3
openai/whisper-tiny,1272-128104-0008,clean,he tells us that at this festive season,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed,3.0
openai/whisper-tiny,1272-128104-0008,snr20,he tells us that at this festive season,for some reason he felt as if something might come that way and was relieved when all the envelopes have been scanned and nothing suspicious noticed,3.0
